Size,Automata Name,Accuracies
1,aut_1.pkl,"[0.8690000176429749, 1.0, 0.9975000023841858, 0.9990000128746033, 0.9990000128746033, 0.968999981880188, 0.9952499866485596, 0.9937499761581421, 0.9912499785423279, 1.0, 0.9922500252723694]"
6,aut_1.pkl,"[0.8734999895095825, 0.8722500205039978, 0.8652499914169312, 0.8787500262260437, 0.871749997138977, 0.8755000233650208, 0.8859999775886536, 0.8827499747276306, 0.8757500052452087, 0.8805000185966492, 0.8799999952316284]"
11,aut_1.pkl,"[0.6365000009536743, 0.6887500286102295, 0.6984999775886536, 0.6980000138282776, 0.7007499933242798, 0.6930000185966492, 0.7257500290870667, 0.7252500057220459, 0.7269999980926514, 0.7559999823570251, 0.7632499933242798]"
16,aut_1.pkl,"[0.7277500033378601, 0.7645000219345093, 0.7452499866485596, 0.7767500281333923, 0.781000018119812, 0.7760000228881836, 0.7752500176429749, 0.7737500071525574, 0.7739999890327454, 0.7804999947547913, 0.7767500281333923]"
21,aut_1.pkl,"[0.7527499794960022, 0.7817500233650208, 0.812749981880188, 0.843500018119812, 0.8482499718666077, 0.847000002861023, 0.8554999828338623, 0.8535000085830688, 0.8502500057220459, 0.8510000109672546, 0.8529999852180481]"
26,aut_1.pkl,"[0.722000002861023, 0.7142500281333923, 0.7260000109672546, 0.7354999780654907, 0.7357500195503235, 0.7267500162124634, 0.7365000247955322, 0.7350000143051147, 0.7352499961853027, 0.7287499904632568, 0.7327499985694885]"
31,aut_1.pkl,"[0.8450000286102295, 0.8705000281333923, 0.8500000238418579, 0.8527500033378601, 0.8700000047683716, 0.8652499914169312, 0.8682500123977661, 0.8619999885559082, 0.8575000166893005, 0.8652499914169312, 0.8672500252723694]"
36,aut_1.pkl,"[0.9012500047683716, 0.9279999732971191, 0.9350000023841858, 0.9340000152587891, 0.9319999814033508, 0.934249997138977, 0.9334999918937683, 0.934499979019165, 0.9334999918937683, 0.9359999895095825, 0.9359999895095825]"
41,aut_1.pkl,"[0.8932499885559082, 0.9202499985694885, 0.9164999723434448, 0.9232500195503235, 0.9312499761581421, 0.9290000200271606, 0.9297500252723694, 0.9327499866485596, 0.9315000176429749, 0.9317499995231628, 0.9307500123977661]"
46,aut_1.pkl,"[0.8330000042915344, 0.8672500252723694, 0.878250002861023, 0.8787500262260437, 0.8777499794960022, 0.8755000233650208, 0.8817499876022339, 0.8772500157356262, 0.8774999976158142, 0.8817499876022339, 0.8805000185966492]"
